id,lat,lon
784470061, 48.8802096, 2.354371
784472917, 48.8801717, 2.3545913
784474061, 48.8802794, 2.3540457
784475046, 48.8801962, 2.3544406
784475464, 48.8799243, 2.3558216
784476049, 48.8804486, 2.3538719
784479132, 48.8803201, 2.3538494
784479892, 48.8799518, 2.35563
784480591, 48.8800601, 2.3551064
784484577, 48.8802041, 2.3544394
784489539, 48.8799246, 2.355901
784491086, 48.8801657, 2.3545946
784500075, 48.8781011, 2.351158
784502271, 48.8798989, 2.3558705
784502367, 48.8802023, 2.3544104
784502726, 48.8783099, 2.3512179
784503248, 48.8799484, 2.3556281
784503412, 48.8800117, 2.3553319
784503667, 48.8801633, 2.3546069
784505473, 48.8778443, 2.3510869
815040967, 48.877604, 2.3524312
831430972, 48.8812829, 2.3438789
831432022, 48.8796054, 2.3455661
831432084, 48.8813459, 2.3442008
831432603, 48.8810436, 2.3426546
831435133, 48.8812488, 2.3437039
831437139, 48.88121, 2.3435057
831438335, 48.8793812, 2.3456683
831438857, 48.8810706, 2.342792
831439826, 48.8811023, 2.3429547
831440727, 48.87948, 2.3456232
831441232, 48.8811712, 2.343307
831444017, 48.8797329, 2.3455079
831444822, 48.8812943, 2.344275
831449779, 48.8813093, 2.3440139
831450636, 48.8811368, 2.3431307
912271456, 48.8774881, 2.353103
912271851, 48.8777933, 2.3531865
914470748, 48.8737124, 2.3582316
914470751, 48.8735312, 2.3583884
971476124, 48.8765327, 2.3443445
971501847, 48.8772551, 2.3464098
971501853, 48.8772611, 2.3468639
971501867, 48.8770209, 2.3458704
971501901, 48.8773787, 2.3467059
971501907, 48.8773225, 2.3466561
971501920, 48.8772233, 2.3468875
1014002247, 48.8773261, 2.3491279
1014002290, 48.8772138, 2.3493034
1020265117, 48.8772347, 2.3493816
1020265119, 48.8772571, 2.3493407
1020265131, 48.8773513, 2.3492314
1020265136, 48.8772953, 2.3493496
1020265147, 48.877344, 2.3492877
1020265162, 48.8772426, 2.3492846
1020265172, 48.8773332, 2.3492447
1020265177, 48.8772868, 2.3493077
1020265182, 48.8772637, 2.3493661
1020265218, 48.8773173, 2.3491329
1020265229, 48.8772789, 2.3492688
1020265235, 48.8772545, 2.3494583
1234213805, 48.8804044, 2.3405263
1234213812, 48.8804013, 2.3405833
1234213815, 48.8804083, 2.3404584
1235277118, 48.8796637, 2.345885
1235277130, 48.8792092, 2.3494329
1235277133, 48.8794176, 2.3457352
1235277160, 48.8796566, 2.3458961
1235277166, 48.8796925, 2.3441725
1235277203, 48.8798221, 2.3455682
1235277208, 48.8796434, 2.3458982
1235277216, 48.8795009, 2.3449757
1235277239, 48.8797262, 2.3456061
1235277253, 48.879373, 2.3457031
1235277272, 48.8794579, 2.3451645
1235277273, 48.8797476, 2.3455105
1235277274, 48.8798103, 2.3451527
